Signal amplitudes
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,2.274955e+00,2.970845e-01,1.190903e+00,5.822981e+00,9.585628e-01,2.438772e+00,3.023042e+00,2.918175e+00,1.299915e+01,7.394423e-01,7.513049e+00,1.673518e-01,1.359080e+00,3.564545e+00,1.277228e+00,0.000000e+00,4.924343e+00,1.617255e+00,3.762087e+00,1.570120e+00,8.527486e+00,6.549216e+00,1.430320e+00,0.000000e+00,1.510642e+00,0.000000e+00,0.000000e+00,7.979535e+00,2.438772e+00,7.333623e+00,1.591732e+01,6.283423e+00,1.022111e+01,8.527486e+00
CRLBs (standard deviation)
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,5.606494e-01,4.945633e-01,9.331488e-01,1.591804e+00,1.797691e+00,2.450502e-01,1.027301e+00,1.929314e+00,1.022757e+00,4.137476e-01,4.802688e-01,5.330487e-01,3.599736e+00,2.599590e+01,3.977402e+01,1.053256e+00,4.802019e+00,9.665049e+00,3.541671e+01,7.363053e+00,3.883709e+00,5.300206e-01,5.571774e-01,2.437102e-01,1.560824e+00,5.822282e-02,3.212460e-01,4.352842e-01,7.449506e-02,2.536123e-01,1.207467e+00,3.817829e+00,1.732943e+01,3.326580e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.997622e+00,9.197248e+00,8.124805e+01,1.555861e+01,2.867437e-02,3.662109e+00,2.321313e+01,4.637107e+01,4.637107e+01,7.153112e+02,9.925274e+02,4.676285e+00,5.758742e+01,2.891744e+01,2.231698e-02,2.549934e+01,-2.615607e+00,1.449265e+07,7.103187e+00,5.561806e-02,-1.525879e-01,1.460176e+04,2.767689e+05,3.051758e-01,2.798564e-02,6.506436e-02,-6.089312e-02,5.035528e-02,1.203217e+00,9.674703e-01,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Ala,1,1.545475e-02,6.840601e-01
1,1,1,Asp,1,-3.519771e-03,0.000000e+00
1,1,1,Cr,1,2.445687e-03,3.183099e+00
1,1,1,-CrCH2,1,5.959160e-03,3.183099e+00
1,1,1,GABA,1,-5.794673e-04,3.183099e+00
1,1,1,Glc,1,-5.164490e-03,3.183099e+00
1,1,1,Gln,1,2.346540e-02,2.791850e+00
1,1,1,Glu,1,4.899782e-03,3.183099e+00
1,1,1,GPC,1,3.832730e-03,1.815016e+00
1,1,1,Gua,1,-1.456008e-02,0.000000e+00
1,1,1,Ins,1,1.169339e-02,1.438254e+00
1,1,1,Lac,1,2.008422e-02,0.000000e+00
1,1,1,Lip09,1,-1.000000e-01,0.000000e+00
1,1,1,Lip13a,1,-2.383042e-02,0.000000e+00
1,1,1,Lip13b,1,-5.818347e-02,0.000000e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,5.935758e-03,0.000000e+00
1,1,1,MM12,1,-8.883428e-02,0.000000e+00
1,1,1,MM14,1,-5.268080e-02,0.000000e+00
1,1,1,MM17,1,-5.256524e-02,3.207961e+00
1,1,1,MM20,1,-4.730237e-02,0.000000e+00
1,1,1,NAA,1,2.371741e-03,3.817424e-01
1,1,1,NAAG,1,-3.543083e-03,1.142259e-01
1,1,1,PCh,1,-0.000000e+00,6.366198e-01
1,1,1,PCr,1,3.340292e-03,2.032591e-01
1,1,1,Scyllo,1,3.000000e-02,2.630461e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277137e+08
N,4096
TE (s),3.500000e-02
Format,ge

TARQUIN version,4.3.11
