Signal amplitudes
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,3.283487e+00,8.148341e-01,2.473300e+00,6.814480e+00,4.636963e+00,4.313248e+00,4.199769e+00,3.799491e+00,9.607840e-01,4.964342e+00,7.714041e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.200674e+00,0.000000e+00,2.995156e+00,0.000000e+00,1.334657e+01,2.061405e+01,2.747367e+00,1.085502e+01,9.306967e-01,9.454240e+00,3.396062e+01,7.060615e+00,1.766950e+01,4.760275e+00,0.000000e+00,4.200674e+00,0.000000e+00
CRLBs (standard deviation)
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,1.313290e+00,1.797612e+00,1.697068e+00,2.508929e+00,3.020805e+00,1.168507e+00,1.780062e+00,3.131430e+00,2.351283e+00,2.308460e+00,1.814689e+00,7.126052e-01,3.369806e+00,6.957980e+00,3.512871e+00,5.417386e+00,3.347004e+00,9.179564e+00,4.867958e+00,1.117258e+01,8.370275e+00,2.151185e+00,2.770033e+00,1.407853e+00,3.267598e+00,3.503695e-01,2.689677e+00,1.393341e+00,4.049871e-01,1.105501e+00,2.550321e+00,1.062341e+00,5.060597e+00,6.476331e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,2.108984e+00,1.327684e+01,9.809193e+01,2.554266e+00,3.823250e-02,4.882812e+00,1.421477e+01,2.997873e+01,2.997873e+01,1.347316e+03,1.798508e+03,4.690622e+00,5.255919e+01,3.121017e+01,2.318481e-02,-2.470029e+00,-4.769058e+00,5.965989e+06,5.445902e+00,4.264149e-02,3.509521e+00,3.317188e+03,1.395806e+05,3.662109e+00,1.675531e-02,3.997809e-02,-4.060556e-02,-1.235271e-02,1.817865e+00,1.619461e+00,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Ala,1,-5.602028e-03,0.000000e+00
1,1,1,Asp,1,-1.623259e-02,0.000000e+00
1,1,1,Cr,1,3.781724e-03,0.000000e+00
1,1,1,-CrCH2,1,7.800987e-03,0.000000e+00
1,1,1,GABA,1,3.000000e-02,3.183099e+00
1,1,1,Glc,1,2.902326e-02,1.946155e+00
1,1,1,Gln,1,-1.519720e-02,3.183099e+00
1,1,1,Glu,1,3.000000e-02,3.183099e+00
1,1,1,GPC,1,2.681637e-03,6.372434e-01
1,1,1,Gua,1,-1.807147e-02,2.890903e+00
1,1,1,Ins,1,5.491315e-03,3.183099e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,Lip09,1,-0.000000e+00,6.366198e-01
1,1,1,Lip13a,1,-0.000000e+00,6.366198e-01
1,1,1,Lip13b,1,-0.000000e+00,6.366198e-01
1,1,1,Lip20,1,1.000000e-01,0.000000e+00
1,1,1,MM09,1,-0.000000e+00,6.366198e-01
1,1,1,MM12,1,-1.000000e-01,0.000000e+00
1,1,1,MM14,1,-0.000000e+00,6.366198e-01
1,1,1,MM17,1,1.000000e-01,3.999244e+00
1,1,1,MM20,1,-0.000000e+00,6.366198e-01
1,1,1,NAA,1,1.287444e-03,0.000000e+00
1,1,1,NAAG,1,-1.531602e-02,3.183099e+00
1,1,1,PCh,1,2.185310e-02,1.895417e+00
1,1,1,PCr,1,1.132120e-02,3.183099e+00
1,1,1,Scyllo,1,1.413396e-02,0.000000e+00
1,1,1,Tau,1,1.287924e-02,3.183099e+00
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277137e+08
N,4096
TE (s),1.292800e-02
Format,ge

TARQUIN version,4.3.11
