Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.2465,-19281.4,8091.98,10541.5,156.041,413.514,1.43343,-0.49445,558.712,899.084,1363.75,1096.01,1316.4,0.185428,800.741,0,-9.47864e-12,0,0,0,0,1.50635e-11,0,0.0157795,315.019,1115.62,3.66673,50.0608,2.14233,0.0644911,0
24.2417,88462.2,8091.95,10558.5,156.041,413.514,1.43331,-0.494428,558.712,899.083,1363.75,1096.01,1316.39,0.185417,800.738,0,-8.33378e-12,0,0,0,0,1.58744e-11,0,0.0157764,315.019,1115.62,3.66613,50.0598,2.14216,0.0644859,0
24.2369,40883.4,8091.93,10575.5,156.041,413.514,1.4332,-0.494406,558.712,899.083,1363.75,1096.01,1316.38,0.185407,800.736,0,-6.06359e-12,0,0,0,0,1.69074e-11,0,0.0157734,315.019,1115.61,3.66552,50.0588,2.14199,0.0644807,0
24.2322,-2669.95,8091.91,10592.4,156.041,413.514,1.43308,-0.494384,558.712,899.083,1363.75,1096.01,1316.38,0.185397,800.734,0,-6.26788e-12,0,0,0,0,1.83897e-11,0,0.0157703,315.019,1115.6,3.66492,50.0577,2.14182,0.0644755,0
24.2274,-10354.7,8091.89,10609.4,156.041,413.514,1.43297,-0.494362,558.712,899.082,1363.75,1096.01,1316.37,0.185387,800.731,0,-3.84759e-12,0,0,0,0,1.6116e-11,0,0.0157673,315.019,1115.59,3.66432,50.0567,2.14165,0.0644703,0
24.2226,-107812,8091.87,10626.4,156.041,413.514,1.43286,-0.494341,558.712,899.082,1363.75,1096.01,1316.36,0.185377,800.729,0,-3.65574e-12,0,0,0,0,1.83871e-11,0,0.0157642,315.019,1115.59,3.66372,50.0557,2.14149,0.0644651,0
24.2178,108935,8091.85,10643.3,156.041,413.514,1.43274,-0.494319,558.712,899.082,1363.75,1096.01,1316.35,0.185367,800.727,0,-4.68958e-13,0,0,0,0,1.93712e-11,0,0.0157612,315.019,1115.58,3.66313,50.0546,2.14132,0.06446,0
24.213,8170.1,8091.83,10660.3,156.041,413.514,1.43263,-0.494298,558.712,899.082,1363.75,1096.01,1316.34,0.185357,800.724,0,6.55476e-13,0,0,0,0,1.71152e-11,0,0.0157582,315.019,1115.57,3.66253,50.0536,2.14116,0.0644548,0
24.2083,-5261.74,8091.81,10677.2,156.041,413.514,1.43252,-0.494277,558.712,899.081,1363.75,1096.02,1316.33,0.185347,800.722,0,2.38742e-12,0,0,0,0,1.80531e-11,0,0.0157552,315.018,1115.56,3.66193,50.0526,2.14099,0.0644497,0
24.2035,82894.3,8091.79,10694.2,156.041,413.514,1.43241,-0.494256,558.712,899.081,1363.75,1096.02,1316.33,0.185337,800.72,0,2.77467e-12,0,0,0,0,1.85629e-11,0,0.0157522,315.018,1115.55,3.66134,50.0516,2.14083,0.0644446,0
24.1987,21732.4,8091.77,10711.2,156.041,413.514,1.43229,-0.494235,558.712,899.081,1363.75,1096.02,1316.32,0.185327,800.717,0,4.24194e-12,0,0,0,0,1.82609e-11,0,0.0157492,315.018,1115.55,3.66075,50.0505,2.14067,0.0644396,0
24.1939,-236484,8091.75,10728.1,156.041,413.514,1.43218,-0.494214,558.712,899.08,1363.75,1096.02,1316.31,0.185317,800.715,0,6.19949e-12,0,0,0,0,1.76037e-11,0,0.0157461,315.018,1115.54,3.66015,50.0495,2.1405,0.0644345,0
24.1891,-64554.4,8091.73,10745.1,156.041,413.514,1.43207,-0.494193,558.712,899.08,1363.75,1096.02,1316.3,0.185308,800.713,0,6.63292e-12,0,0,0,0,1.85025e-11,0,0.0157432,315.018,1115.53,3.65956,50.0485,2.14034,0.0644295,0
24.1844,1402.3,8091.71,10762.1,156.041,413.514,1.43196,-0.494173,558.712,899.08,1363.75,1096.02,1316.29,0.185298,800.711,0,9.51061e-12,0,0,0,0,1.83817e-11,0,0.0157402,315.018,1115.52,3.65897,50.0474,2.14018,0.0644245,0
24.1796,-64630,8091.69,10779,156.041,413.514,1.43185,-0.494153,558.712,899.079,1363.75,1096.02,1316.28,0.185288,800.708,0,1.26015e-11,0,0,0,0,1.77174e-11,0,0.0157372,315.018,1115.51,3.65839,50.0464,2.14002,0.0644195,0
24.1748,47347.2,8091.67,10796,156.041,413.514,1.43174,-0.494133,558.712,899.079,1363.75,1096.02,1316.28,0.185279,800.706,0,1.21325e-11,0,0,0,0,1.69749e-11,0,0.0157342,315.018,1115.51,3.6578,50.0454,2.13986,0.0644145,0
24.17,21542.9,8091.65,10813,156.041,413.514,1.43164,-0.494113,558.712,899.079,1363.75,1096.02,1316.27,0.185269,800.704,0,1.45803e-11,0,0,0,0,1.68079e-11,0,0.0157312,315.018,1115.5,3.65721,50.0444,2.1397,0.0644096,0
