Signal amplitudes
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,4.972825e+00,8.914356e-01,3.626915e+00,5.476051e+00,2.588541e+00,4.479923e+00,2.562258e+00,5.971938e+00,4.727906e+00,2.862450e+00,5.352355e+00,0.000000e+00,2.476366e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,4.045152e+00,0.000000e+00,3.836084e-01,7.046941e+00,9.958274e+00,1.529187e+01,4.252257e-01,8.654343e+00,4.059304e-01,0.000000e+00,2.525015e+01,4.905149e+00,1.413039e+01,1.069984e+01,2.476366e+00,4.045152e+00,7.046941e+00
CRLBs (standard deviation)
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,2.282593e+00,2.304008e+00,2.629443e+00,4.214667e+00,6.177333e+00,1.221142e+00,2.062106e+00,3.576241e+00,4.408050e+00,2.354193e+00,1.862472e+00,9.081904e-01,5.430255e+00,1.209609e+01,4.026429e+00,7.229419e+00,3.774655e+00,1.864373e+01,9.914665e+00,4.754278e+00,1.720333e+01,3.039601e+00,6.626584e+00,1.284903e+00,4.274321e+00,4.513773e-01,1.895940e+00,4.561739e+00,4.969917e-01,1.716796e+00,4.516155e+00,4.377905e+00,8.223743e+00,1.041815e+01
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.772519e+00,1.546107e+01,9.320704e+01,4.827778e+00,5.495908e-02,7.019043e+00,1.012705e+01,1.795039e+01,1.795039e+01,1.374010e+03,1.856387e+03,4.671506e+00,1.858695e+01,4.979504e+01,2.928515e-02,4.448965e+01,1.294392e+01,6.140136e+06,6.917272e+00,5.416222e-02,-1.220703e+00,3.307573e+03,1.940919e+05,-3.051758e-01,2.807165e-02,5.798897e-02,-5.084836e-02,-1.985855e-03,2.809649e+00,2.428704e+00,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Ala,1,1.689520e-02,2.676236e+00
1,1,1,Asp,1,2.350172e-02,1.301017e+00
1,1,1,Cr,1,-1.041001e-02,1.897868e+00
1,1,1,-CrCH2,1,2.759607e-02,1.784564e+00
1,1,1,GABA,1,3.000000e-02,3.183099e+00
1,1,1,Glc,1,2.029656e-02,2.721398e-01
1,1,1,Gln,1,3.000000e-02,3.183099e+00
1,1,1,Glu,1,-8.909285e-03,1.015782e+00
1,1,1,GPC,1,5.429739e-03,3.183099e+00
1,1,1,Gua,1,-1.321435e-02,8.822491e-01
1,1,1,Ins,1,-1.391649e-02,3.183099e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,Lip09,1,-6.848596e-02,0.000000e+00
1,1,1,Lip13a,1,-0.000000e+00,6.366198e-01
1,1,1,Lip13b,1,-0.000000e+00,6.366198e-01
1,1,1,Lip20,1,6.793751e-02,0.000000e+00
1,1,1,MM09,1,-0.000000e+00,6.366198e-01
1,1,1,MM12,1,-1.000000e-01,0.000000e+00
1,1,1,MM14,1,2.033726e-04,6.364401e-01
1,1,1,MM17,1,-8.418956e-02,1.006790e+00
1,1,1,MM20,1,-5.422394e-02,1.819768e+00
1,1,1,NAA,1,7.572146e-04,7.008071e-01
1,1,1,NAAG,1,-9.224187e-03,3.183099e+00
1,1,1,PCh,1,-1.514574e-02,6.138728e-01
1,1,1,PCr,1,8.206757e-03,1.752565e+00
1,1,1,Scyllo,1,1.332751e-02,5.679005e-01
1,1,1,Tau,1,-8.356226e-03,1.320630e+00
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277140e+08
N,4096
TE (s),1.292800e-02
Format,ge

TARQUIN version,4.3.11
