Row : 1, Col : 1, Slice : 1
PPMScale,Data,Fit,Baseline,Ala,Asp,Cr,-CrCH2,GABA,Glc,Gln,Glu,GPC,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau
24.2597,-78964.4,24494.3,-134471,0,1378.35,9.42818,-0.117024,279.468,2903.67,375.178,9870.21,2187.34,1.66851,3248.2,261.614,1.48714,6.77574e-11,0,0,0.143122,2.04921e-11,4.47739,4.47954,2264.46,1701.01,1.65677,0,1.27402,0.270821,0
24.2549,-239448,24493.7,-133680,0,1378.28,9.42742,-0.117019,279.443,2903.64,375.169,9869.98,2187.3,1.66841,3248.14,261.612,1.48678,7.17506e-11,0,0,0.143088,1.74709e-11,4.4765,4.4787,2264.46,1700.87,1.6565,0,1.27391,0.270799,0
24.2501,-67947.3,24493.1,-132889,0,1378.22,9.42667,-0.117013,279.418,2903.61,375.161,9869.74,2187.27,1.66832,3248.07,261.611,1.48642,7.22373e-11,0,0,0.143054,1.66631e-11,4.47562,4.47785,2264.46,1700.74,1.65622,0,1.27381,0.270777,0
24.2454,-340927,24492.5,-132098,0,1378.15,9.42591,-0.117008,279.393,2903.58,375.152,9869.51,2187.23,1.66822,3248.01,261.61,1.48607,7.81739e-11,0,0,0.14302,1.74882e-11,4.47473,4.47701,2264.46,1700.6,1.65595,0,1.27371,0.270754,0
24.2406,70037.2,24491.9,-131307,0,1378.09,9.42516,-0.117003,279.369,2903.55,375.144,9869.27,2187.19,1.66813,3247.95,261.608,1.48571,7.01448e-11,0,0,0.142986,1.51488e-11,4.47385,4.47616,2264.46,1700.47,1.65568,0,1.27361,0.270732,0
24.2358,-239944,24491.3,-130516,0,1378.02,9.42442,-0.116997,279.344,2903.52,375.135,9869.04,2187.16,1.66803,3247.88,261.607,1.48535,8.42135e-11,0,0,0.142952,1.27578e-11,4.47297,4.47532,2264.46,1700.33,1.65541,0,1.27351,0.27071,0
24.231,-110053,24490.6,-129725,0,1377.96,9.42367,-0.116992,279.319,2903.49,375.127,9868.81,2187.12,1.66794,3247.82,261.606,1.48499,9.07079e-11,0,0,0.142918,1.18554e-11,4.47209,4.47448,2264.46,1700.19,1.65514,0,1.27341,0.270688,0
24.2262,-148759,24490,-128935,0,1377.89,9.42293,-0.116987,279.294,2903.46,375.119,9868.57,2187.09,1.66785,3247.75,261.604,1.48464,8.18261e-11,0,0,0.142884,1.11129e-11,4.47121,4.47365,2264.46,1700.06,1.65487,0,1.27331,0.270666,0
24.2215,-170487,24489.4,-128144,0,1377.83,9.4222,-0.116982,279.27,2903.43,375.11,9868.34,2187.05,1.66776,3247.69,261.603,1.48428,8.39862e-11,0,0,0.142851,7.43228e-12,4.47033,4.47281,2264.46,1699.92,1.6546,0,1.27321,0.270644,0
24.2167,-89590.7,24488.8,-127353,0,1377.76,9.42146,-0.116977,279.245,2903.4,375.102,9868.11,2187.01,1.66766,3247.62,261.602,1.48393,8.26361e-11,0,0,0.142817,6.45883e-12,4.46946,4.47197,2264.46,1699.78,1.65433,0,1.27312,0.270622,0
24.2119,-98372.8,24488.2,-126562,0,1377.7,9.42073,-0.116972,279.22,2903.37,375.093,9867.87,2186.98,1.66757,3247.56,261.601,1.48357,8.34035e-11,0,0,0.142783,4.49063e-12,4.46858,4.47114,2264.46,1699.65,1.65407,0,1.27302,0.270601,0
24.2071,-298939,24487.6,-125771,0,1377.63,9.42,-0.116966,279.195,2903.34,375.085,9867.64,2186.94,1.66748,3247.5,261.599,1.48322,8.47109e-11,0,0,0.14275,2.79243e-12,4.46771,4.47031,2264.46,1699.51,1.6538,0,1.27292,0.270579,0
24.2023,-84062.5,24487,-124980,0,1377.57,9.41927,-0.116961,279.171,2903.31,375.076,9867.41,2186.9,1.66739,3247.43,261.598,1.48286,8.68994e-11,0,0,0.142716,-1.3074e-12,4.46684,4.46948,2264.46,1699.37,1.65353,0,1.27282,0.270557,0
