Signal amplitudes
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,8.530647e-01,0.000000e+00,4.929600e+00,5.451791e+00,6.978106e-01,2.101621e+00,2.557040e+00,6.439379e-01,1.412155e+01,2.427781e+00,6.120856e+00,4.405505e-01,7.421096e-01,4.629212e+00,0.000000e+00,0.000000e+00,5.510220e+00,1.739677e+00,3.534141e+00,2.410391e+00,1.134770e+01,6.643991e+00,2.124185e+00,0.000000e+00,1.872573e+00,2.477583e-01,0.000000e+00,8.768176e+00,2.101621e+00,7.324363e+00,1.476549e+01,6.252329e+00,9.903030e+00,1.134770e+01
CRLBs (standard deviation)
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,3.361989e-01,1.942834e-01,2.668760e+00,1.186245e+00,3.017932e+00,2.400090e-01,1.521999e+00,1.318798e+00,1.502342e+00,1.273800e+00,8.443237e-01,1.005121e+00,2.739649e+01,1.782841e+01,2.745352e+00,1.449900e+00,3.307182e+01,1.552839e+01,1.063859e+01,1.671029e+01,5.803739e+00,1.092747e+00,1.261627e+00,2.348465e-01,1.165169e+00,1.371334e-01,5.557311e-01,8.607238e-01,1.116446e-01,3.654817e-01,1.556133e+00,4.686450e+00,1.476674e+01,4.706946e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.731379e+00,8.091043e+00,7.843242e+01,1.955276e+01,3.106391e-02,3.967285e+00,1.926153e+01,3.334902e+01,3.334902e+01,1.766926e+03,2.347943e+03,4.684648e+00,5.378800e+01,3.662152e+01,2.511445e-02,6.500720e+00,5.936859e+00,2.746276e+07,7.211196e+00,5.646378e-02,1.831055e+00,1.169652e+04,7.375666e+05,2.899170e+00,1.289359e-02,2.163549e-02,-5.268645e-02,2.413716e-02,1.608315e+00,1.331089e+00,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Ala,1,-0.000000e+00,6.366198e-01
1,1,1,Asp,1,-6.772761e-03,3.183099e+00
1,1,1,Cr,1,3.536406e-03,3.183099e+00
1,1,1,-CrCH2,1,1.796622e-02,0.000000e+00
1,1,1,GABA,1,3.000000e-02,3.183099e+00
1,1,1,Glc,1,-1.820826e-03,3.114503e+00
1,1,1,Gln,1,1.747351e-02,0.000000e+00
1,1,1,Glu,1,1.056127e-02,3.183099e+00
1,1,1,GPC,1,6.247133e-03,3.183099e+00
1,1,1,Gua,1,-3.000000e-02,3.183099e+00
1,1,1,Ins,1,1.172275e-02,1.468717e+00
1,1,1,Lac,1,1.121917e-02,5.847529e-01
1,1,1,Lip09,1,-1.445440e-02,7.073655e+00
1,1,1,Lip13a,1,9.749573e-02,0.000000e+00
1,1,1,Lip13b,1,-0.000000e+00,6.366198e-01
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,1.211970e-02,9.189987e-02
1,1,1,MM12,1,-2.137962e-02,0.000000e+00
1,1,1,MM14,1,1.000000e-01,6.913173e+00
1,1,1,MM17,1,-2.635788e-04,1.019880e+01
1,1,1,MM20,1,-6.713226e-03,0.000000e+00
1,1,1,NAA,1,6.425349e-03,5.694677e-01
1,1,1,NAAG,1,4.256942e-03,2.097907e+00
1,1,1,PCh,1,-0.000000e+00,6.366198e-01
1,1,1,PCr,1,5.828386e-03,7.697650e-01
1,1,1,Scyllo,1,2.292752e-04,1.301016e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277136e+08
N,4096
TE (s),3.500000e-02
Format,ge

TARQUIN version,4.3.11
