Signal amplitudes
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,1.675204e+00,1.436593e+00,4.197585e+00,3.052313e+00,1.649561e+00,2.902296e+00,2.395328e+00,6.623222e+00,1.239951e+01,9.773893e-01,7.751703e+00,0.000000e+00,4.407025e-01,6.927916e-01,9.209602e-01,0.000000e+00,5.076219e+00,1.523771e+00,1.072852e+00,3.192576e+00,1.230658e+01,2.176434e+00,3.740026e+00,0.000000e+00,4.025476e+00,1.006780e-01,0.000000e+00,5.916460e+00,2.902296e+00,7.077788e+00,1.902273e+01,5.516921e+00,4.210374e+00,1.230658e+01
CRLBs (standard deviation)
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,8.993892e-01,3.177931e+00,2.980177e+00,1.595411e+00,2.627386e+00,6.619395e-01,3.180197e+00,4.520195e+00,2.337963e+00,2.664889e+00,2.179691e+00,5.238887e-01,2.979750e+00,1.037792e+02,1.091046e+01,1.902248e+00,3.209924e+00,7.873742e+01,1.192068e+01,4.730100e+00,5.155207e+00,2.953868e+00,2.034730e+00,8.107729e-01,1.418449e+00,3.178819e-01,1.640513e+00,1.245952e+00,3.387583e-01,1.176528e+00,2.807924e+00,1.727876e+00,7.413657e+00,4.090630e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.621445e+00,1.081635e+01,8.020393e+01,3.088922e+01,6.690693e-02,8.544922e+00,1.537524e+01,2.493010e+01,2.493010e+01,1.638875e+03,2.094747e+03,4.665532e+00,3.187354e+01,1.437175e+02,4.975202e-02,6.791764e+00,4.293011e+00,2.923917e+07,1.023717e+01,8.015725e-02,-9.155273e-01,1.395833e+04,1.522646e+05,4.577637e-01,3.574992e-02,6.893828e-02,-1.179250e-01,7.520252e-02,2.891026e+00,1.651009e+00,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Ala,1,2.161824e-02,2.536176e+00
1,1,1,Asp,1,1.207898e-03,0.000000e+00
1,1,1,Cr,1,-2.113484e-02,3.183099e+00
1,1,1,-CrCH2,1,3.000000e-02,0.000000e+00
1,1,1,GABA,1,3.890919e-03,0.000000e+00
1,1,1,Glc,1,-4.326566e-03,2.368128e+00
1,1,1,Gln,1,2.723809e-02,3.183099e+00
1,1,1,Glu,1,8.456028e-03,3.183099e+00
1,1,1,GPC,1,5.934020e-03,3.183099e+00
1,1,1,Gua,1,-3.000000e-02,3.183099e+00
1,1,1,Ins,1,1.757912e-02,1.595484e+00
1,1,1,Lac,1,-0.000000e+00,6.366198e-01
1,1,1,Lip09,1,-1.000000e-01,7.527186e-01
1,1,1,Lip13a,1,2.464047e-02,0.000000e+00
1,1,1,Lip13b,1,5.617067e-02,4.682847e+00
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,-1.098103e-04,0.000000e+00
1,1,1,MM12,1,7.274702e-02,0.000000e+00
1,1,1,MM14,1,-2.720665e-02,0.000000e+00
1,1,1,MM17,1,-4.590260e-02,0.000000e+00
1,1,1,MM20,1,-2.770724e-02,0.000000e+00
1,1,1,NAA,1,7.947957e-03,3.183099e+00
1,1,1,NAAG,1,-1.885903e-02,0.000000e+00
1,1,1,PCh,1,-0.000000e+00,6.366198e-01
1,1,1,PCr,1,1.268853e-02,0.000000e+00
1,1,1,Scyllo,1,1.026279e-02,0.000000e+00
1,1,1,Tau,1,3.814362e-05,6.326060e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277136e+08
N,4096
TE (s),3.500000e-02
Format,ge

TARQUIN version,4.3.11
