Signal amplitudes
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,3.536993e+00,0.000000e+00,4.670216e+00,4.160508e+00,1.261113e+00,2.080440e+00,5.415967e+00,3.399723e+00,1.338441e+01,0.000000e+00,6.096365e+00,2.315821e-01,1.137130e+00,3.494092e+00,0.000000e+00,0.000000e+00,3.471450e+00,1.190379e+00,6.368882e+00,1.556476e+00,1.022178e+01,5.225945e+00,3.138751e+00,0.000000e+00,3.394247e+00,1.680296e-01,0.000000e+00,8.364696e+00,2.080440e+00,7.554755e+00,1.678414e+01,4.608579e+00,1.105335e+01,1.022178e+01
CRLBs (standard deviation)
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,1.406022e+00,3.336292e-01,2.558956e+00,5.059159e+00,3.028500e+00,6.570656e-01,1.362497e+00,2.845099e+00,1.914145e+00,6.474775e-01,1.407049e+00,3.102343e+00,3.750306e+00,2.830694e+01,1.128638e+01,1.565597e+00,4.999285e+00,2.354591e+02,2.468103e+02,9.249864e+00,6.035488e+00,1.427298e+00,1.906570e+00,6.655718e-01,4.652482e+00,2.150623e-01,1.397127e+00,1.165151e+00,1.803265e-01,8.736708e-01,1.952357e+00,3.221534e+00,1.609391e+01,4.164115e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.913445e+00,1.100520e+01,8.090388e+01,2.060071e+01,5.734861e-02,7.324219e+00,1.557193e+01,2.979603e+01,2.979603e+01,6.849819e+02,8.712207e+02,4.666727e+00,4.553958e+01,1.281519e+02,4.698043e-02,9.057256e+00,-8.152824e+00,1.316227e+07,8.357634e+00,6.544024e-02,-1.068115e+00,1.510784e+04,4.751651e+05,-3.051758e-01,3.083288e-02,7.736643e-02,-5.380968e-02,3.887961e-02,2.328982e+00,1.553266e+00,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Ala,1,-7.690631e-03,2.101492e-01
1,1,1,Asp,1,6.912388e-03,7.366823e-01
1,1,1,Cr,1,1.977735e-03,3.183099e+00
1,1,1,-CrCH2,1,3.000000e-02,3.183099e+00
1,1,1,GABA,1,5.165157e-03,0.000000e+00
1,1,1,Glc,1,4.939438e-03,3.183099e+00
1,1,1,Gln,1,1.414211e-02,2.018984e+00
1,1,1,Glu,1,-6.835861e-03,3.183099e+00
1,1,1,GPC,1,8.885859e-03,1.993217e+00
1,1,1,Gua,1,3.811741e-03,7.350868e-01
1,1,1,Ins,1,1.915834e-02,1.115925e+00
1,1,1,Lac,1,1.747557e-02,3.009788e-01
1,1,1,Lip09,1,-1.000000e-01,2.358525e-01
1,1,1,Lip13a,1,-9.479002e-02,0.000000e+00
1,1,1,Lip13b,1,-0.000000e+00,6.366198e-01
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,-5.738914e-03,0.000000e+00
1,1,1,MM12,1,1.000000e-01,2.767855e+00
1,1,1,MM14,1,-6.799551e-02,6.018245e-01
1,1,1,MM17,1,-6.565525e-02,0.000000e+00
1,1,1,MM20,1,-6.679451e-02,1.178398e-03
1,1,1,NAA,1,2.973300e-03,0.000000e+00
1,1,1,NAAG,1,-6.079478e-03,3.183099e+00
1,1,1,PCh,1,-0.000000e+00,6.366198e-01
1,1,1,PCr,1,8.499171e-03,7.920188e-01
1,1,1,Scyllo,1,1.007745e-02,0.000000e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277140e+08
N,4096
TE (s),3.500000e-02
Format,ge

TARQUIN version,4.3.11
