Signal amplitudes
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,6.794668e-01,1.666147e+00,5.618525e+00,3.860113e+00,3.168091e-01,1.759315e+00,5.451899e+00,2.914954e+00,1.087957e+01,0.000000e+00,5.209469e+00,5.192560e-01,4.966149e-01,1.872342e+00,0.000000e+00,0.000000e+00,4.668651e+00,1.885359e+00,3.082837e+00,2.569434e+00,1.148375e+01,6.508749e+00,2.446076e+00,0.000000e+00,3.419331e+00,1.725731e-01,0.000000e+00,8.954824e+00,1.759315e+00,7.279444e+00,1.379452e+01,5.165266e+00,6.840538e+00,1.148375e+01
CRLBs (standard deviation)
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,3.459316e-01,2.723084e+00,2.611736e+00,1.074357e+00,1.084716e+00,2.680968e-01,1.157821e+00,2.329592e+00,1.309793e+00,4.005325e-01,7.109450e-01,1.560310e+00,3.998900e+00,3.388366e+00,8.781917e+00,1.187439e+00,5.393056e+00,1.237066e+01,1.903885e+01,5.756934e+00,5.748538e+00,9.097816e-01,1.023876e+00,3.244200e-01,9.526417e-01,1.041717e-01,5.648381e-01,8.000803e-01,1.023057e-01,3.713495e-01,1.609501e+00,2.841729e+00,1.607360e+01,4.845027e+00
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.712811e+00,8.167963e+00,7.900395e+01,1.847783e+01,4.540099e-02,5.798340e+00,2.080606e+01,3.563684e+01,3.563684e+01,1.777222e+03,2.263606e+03,4.678674e+00,8.553402e+01,5.926113e+01,3.194769e-02,-1.901873e+00,1.699937e+00,3.490900e+07,7.769251e+00,6.083323e-02,2.746582e+00,1.542185e+04,1.252509e+06,2.593994e+00,1.015625e-02,1.903788e-02,-3.767120e-02,1.332622e-02,1.496214e+00,1.186911e+00,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Ala,1,-4.855702e-03,3.183099e+00
1,1,1,Asp,1,2.287980e-02,3.183099e+00
1,1,1,Cr,1,-6.646664e-03,3.183099e+00
1,1,1,-CrCH2,1,2.538440e-02,0.000000e+00
1,1,1,GABA,1,-2.501424e-02,0.000000e+00
1,1,1,Glc,1,-8.464019e-03,3.183099e+00
1,1,1,Gln,1,2.749311e-02,2.751929e+00
1,1,1,Glu,1,5.713916e-03,3.183099e+00
1,1,1,GPC,1,2.930126e-03,3.183099e+00
1,1,1,Gua,1,-9.079505e-03,7.176075e-01
1,1,1,Ins,1,1.097560e-02,1.919787e+00
1,1,1,Lac,1,1.005936e-02,0.000000e+00
1,1,1,Lip09,1,-8.061159e-02,1.729905e+00
1,1,1,Lip13a,1,5.563861e-02,0.000000e+00
1,1,1,Lip13b,1,-0.000000e+00,6.366198e-01
1,1,1,Lip20,1,-0.000000e+00,6.366198e-01
1,1,1,MM09,1,1.697138e-04,0.000000e+00
1,1,1,MM12,1,-1.207599e-02,0.000000e+00
1,1,1,MM14,1,2.669914e-03,0.000000e+00
1,1,1,MM17,1,-8.676519e-02,0.000000e+00
1,1,1,MM20,1,3.509384e-04,3.542089e+00
1,1,1,NAA,1,5.166256e-04,5.574585e-01
1,1,1,NAAG,1,3.229820e-04,1.222301e+00
1,1,1,PCh,1,-0.000000e+00,6.366198e-01
1,1,1,PCr,1,3.405953e-03,8.007142e-01
1,1,1,Scyllo,1,-5.861084e-04,2.024955e-01
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277139e+08
N,4096
TE (s),3.500000e-02
Format,ge

TARQUIN version,4.3.11
