Signal amplitudes
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,0.000000e+00,0.000000e+00,9.951281e+00,4.144972e+00,2.367743e+01,2.136788e+00,6.856421e+00,1.429966e+01,1.859662e+00,1.135327e+00,5.163601e+00,4.975378e+00,1.552683e+00,2.603264e+00,0.000000e+00,7.506747e+00,4.343075e+00,8.394582e-01,3.419602e+00,2.910024e+00,1.123061e+01,2.703011e+00,7.121475e+00,0.000000e+00,4.670572e+00,2.885711e-01,0.000000e+00,9.824485e+00,2.136788e+00,8.815544e+00,1.615932e+01,5.895758e+00,6.862324e+00,1.873735e+01
CRLBs (standard deviation)
Row,Col,Slice,-CrCH2,Ala,Asp,Cr,GABA,GPC,Glc,Gln,Glu,Gua,Ins,Lac,Lip09,Lip13a,Lip13b,Lip20,MM09,MM12,MM14,MM17,MM20,NAA,NAAG,PCh,PCr,Scyllo,Tau,TNAA,TCho,TCr,Glx,TLM09,TLM13,TLM20
1,1,1,7.505431e+00,9.456630e+00,1.285942e+02,1.765813e+01,9.641097e+01,1.273114e+01,4.830104e+01,1.007341e+02,3.413841e+01,3.152942e+01,2.630456e+01,3.371134e+01,6.544750e+00,3.843202e+01,8.616500e+01,3.832214e+01,2.710204e+01,1.894857e+01,2.385224e+01,1.596690e+01,6.989774e+01,2.931727e+01,4.849532e+01,9.894537e+00,1.963067e+01,7.036764e+00,2.143963e+01,2.328926e+01,3.493659e+00,1.595577e+01,7.673933e+01,2.382172e+01,6.649119e+01,4.092346e+01
Fit diagnostics
Row,Col,Slice,Q,max res,metab ratio,peak metab ratio,metab FWHM (PPM),metab FWHM (Hz),SNR,SNR max,SNR metab,spec noise,td noise,ref,init beta,final beta,final beta (PPM),phi0 (deg),phi1 (deg/PPM),water amp,water FWHM (Hz),water FWHM (PPM),water freq (Hz),WNR,res water amp,res water freq,baseline dev,max baseline,min baseline,baseline shape,initial residual,final residual,stopping reason
1,1,1,1.735279e+00,1.460780e+01,7.728982e+01,3.920605e+01,1.242554e-01,1.586914e+01,1.096690e+01,1.903063e+01,1.903063e+01,1.490447e+03,1.945422e+03,4.653584e+00,7.101130e+01,7.347245e+02,1.124908e-01,7.311643e+00,8.286705e+00,2.418802e+07,1.418691e+01,1.110835e-01,-2.899170e+00,1.243330e+04,9.200238e+05,-2.288818e+00,4.921697e-02,9.513818e-02,-2.071793e-01,1.031439e-01,3.644611e+00,2.568284e+00,stopped by small D*p
Basis shifts and dampings
Row,Col,Slice,name,group,shift (PPM),damping (Hz)
1,1,1,Ala,1,-3.000000e-02,0.000000e+00
1,1,1,Asp,1,2.517175e-03,6.853719e-02
1,1,1,Cr,1,-3.567183e-03,0.000000e+00
1,1,1,-CrCH2,1,-0.000000e+00,6.366198e-01
1,1,1,GABA,1,2.894743e-02,0.000000e+00
1,1,1,Glc,1,3.000000e-02,1.183879e+00
1,1,1,Gln,1,3.000000e-02,1.880759e+00
1,1,1,Glu,1,1.933722e-02,2.750466e+00
1,1,1,GPC,1,1.918340e-02,6.507933e-02
1,1,1,Gua,1,-1.851557e-02,2.628135e-01
1,1,1,Ins,1,3.000000e-02,1.880759e+00
1,1,1,Lac,1,1.419004e-02,0.000000e+00
1,1,1,Lip09,1,-3.505347e-02,3.422156e+00
1,1,1,Lip13a,1,-2.358604e-02,0.000000e+00
1,1,1,Lip13b,1,-1.000000e-01,1.066108e+01
1,1,1,Lip20,1,6.840424e-02,9.640784e-01
1,1,1,MM09,1,4.377037e-02,4.918841e-01
1,1,1,MM12,1,-8.661244e-02,5.657353e-01
1,1,1,MM14,1,7.419078e-02,4.291029e-01
1,1,1,MM17,1,-3.027815e-02,0.000000e+00
1,1,1,MM20,1,-8.150955e-02,0.000000e+00
1,1,1,NAA,1,4.872711e-03,3.183099e+00
1,1,1,NAAG,1,-1.296751e-02,1.880759e+00
1,1,1,PCh,1,-0.000000e+00,6.366198e-01
1,1,1,PCr,1,3.000000e-02,2.877915e+00
1,1,1,Scyllo,1,-1.772574e-02,2.141227e+00
1,1,1,Tau,1,-0.000000e+00,6.366198e-01
Geometry parameters
Rows,1
Cols,1
Slices,1
PixelSpacing,Unknown
SliceThickness,Unknown
ImageOrientationPatient,Unknown
ImagePositionPatient,Unknown
VoiDim,Unknown
Data parameters
Fs (Hz),5.000000e+03
Ft (Hz),1.277139e+08
N,4096
TE (s),3.500000e-02
Format,ge

TARQUIN version,4.3.11
